10,"1 |  /  | 14 | 128 900 € | 2432 €/m² | Apartament de vanzare, 3 camere, etaj 2, Pacurari, Iasi | Pacurari, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 53 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Apartament 3 camere complet renovat, mobilat si utilat &ndash; Pacurari, IasiApartament complet renovat, mobilat si utilat, totul nou, pregatit pentru mutare imediata. Localizare premiumVa propunem o ... | Evo Imobiliare | Agenție imobiliară"
11,"1 |  /  | 6 | 106 000 € | 2120 €/m² | Apartament 2 camere decomandat - etaj 1 - in spate la OMV Nicolina | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 50 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere – 50 mp – Mobilat &amp; Utilat – Bloc 2015Se vinde apartament cu 2 camere, având o suprafață de 50 mp, situat într-un bloc construit în 2014, la doar 500 m de OMV Nicolina. Apartam... | ZDA | Agenție imobiliară"
12,"1 |  /  | 10 | 73 500 € | 1289 €/m² | Tatarasi-Dispecer-2 Camere 57mp-liber | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 57 m² | Etaj | 3 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere semidecomandat de 57mp situat in zona Tatarasi-Posta,la etajul 3/10 intr-un bloc pe cadre construit in anul 1972,cu acces direct catre mijloacele de ... | ZDA | Agenție imobiliară"
13,"1 |  /  | 8 | 98 000 € | 1750 €/m² | Apartament 2 camere | 56 mp | Etaj 5 | Bloc nou cu lift și pod | Strada Visan, Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 2 camere, având o suprafață de 56 mp, situat la etajul 5 al unui bloc nou, dotat cu lift și pod. Locuința se vinde complet mobilată, fiind amenajată cu atenție ... | ZDA | Agenție imobiliară"
14,"1 |  /  | 7 | 104 900 € | 1873 €/m² | Apartament 2 camere decomandat - etaj 1 - mobilat utilat - Kaufland | Nicolina 1, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Apartament 2 camere decomandat – Etaj 1 – 56 mp – Parcare inclusă – Zona Kaufland Galata De vânzare apartament modern cu 2 camere decomandate, situat la etajul 1 al unui bloc bine întreținut, într-una... | ZDA | Agenție imobiliară"
15,"1 |  /  | 11 | 98 000 € | 1463 €/m² | Etaj 1-Tatarasi Dispecer-3 Camere Semidecomandat 68mp-bloc fara risc | Tatarasi Nord, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 67 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 3 camere semidecomandat de 68mp situat in zona Tatarasi-Dispecer,la etajul 1/4 intr*un bloc fara risc,cu acces rapid catre mijloacele de transport in comun.Ap... | ZDA | Agenție imobiliară"
16,"1 |  /  | 12 | 97 500 € | 2120 €/m² | Podul de Fier-Profesor Paul-2 Camere Decomandat-bloc 82' | Strada Conductelor, Podu de Fier, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | parter | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere decomandat situat in zona Podul de Fier-Profesor Paul,la parterul unui bloc de 4 etaje construit in anul 1982,cu acces rapid catre mijloacele de tran... | ZDA | Agenție imobiliară"
17,"1 |  /  | 8 | 105 000 € | 1313 €/m² | Apartament 3 camere | 80mp | Bloc 2016 | Bucium, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 80 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 3 camere, cu o suprafata de 80mp situat la etajul 4 al unui imobil construit în 2016. Proprietatea se vinde complet mobilată, fiind ideală atât pentru locuire i... | ZDA | Agenție imobiliară"
18,"1 |  /  | 11 | 115 900 € | 2146 €/m² | Etaj 1-Oancea Lidl-2 Camere Decomandat 54mp-bloc 85' | Strada Hanciuc, Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 54 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 2 camere decomandat de 54mp situat in zona Oancea,la etajul 1/4,inr-un bloc fara risc seismic,cu aces rapid catre mijloacele de transport in comun.Apartamentu... | ZDA | Agenție imobiliară"
19,"1 |  /  | 10 | 96 500 € | 1892 €/m² | Apartament 3 camere open space - mobilat - Lidl Aleea Tudor Neculai | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 51 m² | Etaj | parter | Vezi descrierea anunțului | De vânzare – Apartament 3 camere open space, mobilat și utilat, NicolinaVă propun spre vânzare un apartament modern cu 3 camere, situat într-un bloc nou din zona Nicolina, una dintre cele mai căutate ... | ZDA | Agenție imobiliară"
20,"1 |  /  | 9 | 83 500 € | 1546 €/m² | Apartament 3 camere - liber - Mircea cel Batran | Mircea cel Batran, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 54 m² | Etaj | 4 etajul | Vezi descrierea anunțului | De vânzare – Apartament 3 camere, Mircea cel Bătrân, Iași Locație: Cartier Mircea cel Bătrân Etaj: 4 (cu pod) Compartimentare: 3 camere spațioasePreț: 83.500 euro Stare: Liber, cu mutare imediatăApart... | ZDA | Agenție imobiliară"
21,"1 |  /  | 10 | 72 000 € | 1800 €/m² | Apartament 1 cameră | 40 mp | Etaj 1 | Bloc 2016 | Bucium, Iasi, Iasi | Numărul de camere | 1 cameră | Prețul pe metru pătrat | 40 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 1 cameră, având o suprafață de 40 mp, situat la etajul 1 al unui imobil construit în 2016. Apartamentul a fost renovat complet în anul 2023 și se vinde mobilat ... | ZDA | Agenție imobiliară"
22,"1 |  /  | 4 | 101 916 € | 1800 €/m² | INVESTITIE-Apartamente 1/2 CAMERE 900m de OMV BUCIUM -Predare MAI 2026 | Strada Visan, Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 56.62 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Te invităm să descoperi UNITY REAL ESTATE-IASI, un ansamblu rezidențial modern, creat pentru a-ți oferi tot ce ai nevoie: confort, siguranță și un spațiu perfect pentru tine și cei dragi.Ce oferim?Apa... | Reactualizat | Proprietar"
