,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare
1908,93000,63.0,2,1476.19,Galata-Frumoasa,Nou (Post-2000),Decomandat
1912,113000,49.0,2,2306.12,Centru-Civic,Nou (Post-2000),Decomandat
1928,134900,73.0,3,1847.95,Podu-Ros-Cantemir,Vechi (Pre-1977),Semidecomandat
1931,78500,40.0,2,1962.5,Alexandru-Dacia,Vechi (Pre-1977),Decomandat
1948,90000,42.0,2,2142.86,Alexandru-Dacia,Clasic (1977-2000),Nespecificat
1952,140000,70.0,3,2000.0,Pacurari-Canta,Clasic (1977-2000),Nespecificat
1960,91300,59.0,3,1547.46,Galata-Frumoasa,Clasic (1977-2000),Decomandat
1969,93000,55.0,2,1690.91,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
1973,137000,79.0,3,1734.18,Nicolina-CUG,Clasic (1977-2000),Nespecificat
1977,53000,29.0,1,1827.59,Galata-Frumoasa,Clasic (1977-2000),Nespecificat
1981,62000,29.0,2,2137.93,Centru-Civic,Nou (Post-2000),Nespecificat
1982,59900,37.0,2,1618.92,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat
1983,75000,40.0,2,1875.0,Nicolina-CUG,Nou (Post-2000),Semidecomandat
1985,58000,29.0,2,2000.0,Centru-Civic,Clasic (1977-2000),Decomandat
1986,61900,30.0,2,2063.33,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
1987,68000,34.0,1,2000.0,Nicolina-CUG,Clasic (1977-2000),Decomandat
1991,95000,45.0,2,2111.11,Nicolina-CUG,Nou (Post-2000),Nespecificat
2012,79649,40.0,1,1991.22,Periferie-Metropolitana,Clasic (1977-2000),Nespecificat
2023,59900,30.0,2,1996.67,Podu-Ros-Cantemir,Clasic (1977-2000),Decomandat
2029,97500,50.0,2,1950.0,Nicolina-CUG,Vechi (Pre-1977),Decomandat
2032,124990,68.0,3,1838.09,Nicolina-CUG,Clasic (1977-2000),Decomandat
2040,131000,57.0,2,2298.25,Nicolina-CUG,Nou (Post-2000),Nespecificat
2044,112000,60.0,3,1866.67,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat
2051,155000,71.0,3,2183.1,Alexandru-Dacia,Nou (Post-2000),Nespecificat
2073,85000,52.0,2,1634.62,Tatarasi-Tudor,Clasic (1977-2000),Decomandat
2075,97000,54.0,2,1796.3,Nicolina-CUG,Clasic (1977-2000),Decomandat
2077,130000,80.0,3,1625.0,Nicolina-CUG,Clasic (1977-2000),Decomandat
2078,47500,24.0,1,1979.17,Nicolina-CUG,Clasic (1977-2000),Nespecificat
2079,79000,40.0,2,1975.0,Tatarasi-Tudor,Vechi (Pre-1977),Decomandat
