,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare,Tip_Zona
2730,64500,32.0,1,2015.62,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
2731,78000,40.0,2,1950.0,Galata-Frumoasa,Vechi (Pre-1977),Nespecificat,Accesibil/Rezidential
2735,110000,60.0,3,1833.33,Podu-Ros-Cantemir,Vechi (Pre-1977),Nespecificat,Standard/Urban
2736,100000,60.0,3,1666.67,Podu-Ros-Cantemir,Vechi (Pre-1977),Nespecificat,Standard/Urban
2744,85000,54.0,2,1574.07,Alexandru-Dacia,Clasic (1977-2000),Decomandat,Standard/Urban
2746,74900,38.0,2,1971.05,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat,Standard/Urban
2755,104000,58.0,3,1793.1,Pacurari-Canta,Nou (Post-2000),Nespecificat,Standard/Urban
2759,112000,67.0,3,1671.64,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2763,99000,60.0,2,1650.0,Bucium,Nou (Post-2000),Decomandat,Periferie
2769,115900,58.0,2,1998.28,Pacurari-Canta,Clasic (1977-2000),Nespecificat,Standard/Urban
2785,81020,40.51,1,2000.0,Podu-Ros-Cantemir,Clasic (1977-2000),Nespecificat,Standard/Urban
2797,109150,59.0,2,1850.0,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
2813,97000,78.0,3,1243.59,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
2832,117000,60.0,2,1950.0,Periferie-Metropolitana,Vechi (Pre-1977),Decomandat,Periferie
2834,148000,80.0,3,1850.0,Alexandru-Dacia,Clasic (1977-2000),Nespecificat,Standard/Urban
2837,115000,68.0,3,1691.18,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2843,146000,60.0,2,2433.33,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
2845,120000,61.0,2,1967.21,Pacurari-Canta,Vechi (Pre-1977),Nespecificat,Standard/Urban
2846,114900,72.0,3,1595.83,Periferie-Metropolitana,Nou (Post-2000),Nespecificat,Periferie
2857,128000,58.0,2,2206.9,Periferie-Metropolitana,Nou (Post-2000),Decomandat,Periferie
2875,97500,52.0,2,1875.0,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2882,130000,55.0,2,2363.64,Centru-Civic,Nou (Post-2000),Nespecificat,Premium
2890,103600,56.0,2,1850.0,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
2892,123000,70.0,3,1757.14,Galata-Frumoasa,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2895,138500,60.0,3,2308.33,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
2896,110000,50.0,2,2200.0,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
2899,175000,70.0,3,2500.0,Copou-Saras,Vechi (Pre-1977),Decomandat,Premium
2901,112900,57.0,2,1980.7,Tatarasi-Tudor,Clasic (1977-2000),Nespecificat,Standard/Urban
2910,125500,75.0,3,1673.33,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2922,59000,35.0,1,1685.71,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
2923,127000,74.0,3,1716.22,Nicolina-CUG,Clasic (1977-2000),Nespecificat,Accesibil/Rezidential
2924,90000,55.0,3,1636.36,Tatarasi-Tudor,Clasic (1977-2000),Semidecomandat,Standard/Urban
