,Pret,Suprafata_Utila,Camere,Pret_mp,Zona,Vechime_Imobil,Compartimentare,Tip_Zona
616,134900,74.84,3,1802.51,Podu-Ros-Cantemir,Vechi (Pre-1977),Decomandat,Standard/Urban
618,94985,48.0,1,1978.85,Copou-Saras,Clasic (1977-2000),Nespecificat,Premium
622,115000,58.0,2,1982.76,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
628,110000,66.0,3,1666.67,Galata-Frumoasa,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
635,117900,53.0,2,2224.53,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
637,78000,42.0,1,1857.14,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
643,110000,49.0,2,2244.9,Copou-Saras,Vechi (Pre-1977),Semidecomandat,Premium
652,110000,48.0,2,2291.67,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
659,113000,57.0,3,1982.46,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
660,84000,40.0,1,2100.0,Pacurari-Canta,Clasic (1977-2000),Decomandat,Standard/Urban
661,90000,50.0,2,1800.0,Alexandru-Dacia,Clasic (1977-2000),Decomandat,Standard/Urban
664,83000,41.0,1,2024.39,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
665,102000,51.0,2,2000.0,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
667,73000,37.0,1,1972.97,Alexandru-Dacia,Vechi (Pre-1977),Nespecificat,Standard/Urban
677,74000,41.0,2,1804.88,Alexandru-Dacia,Vechi (Pre-1977),Nespecificat,Standard/Urban
678,62900,32.0,1,1965.62,Tatarasi-Tudor,Vechi (Pre-1977),Nespecificat,Standard/Urban
686,89000,58.0,2,1534.48,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
691,119900,57.0,2,2103.51,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
692,83030,41.0,1,2025.12,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
693,85000,40.0,2,2125.0,Alexandru-Dacia,Vechi (Pre-1977),Nespecificat,Standard/Urban
698,100500,49.8,2,2018.07,Centru-Civic,Nou (Post-2000),Nespecificat,Premium
703,72999,48.28,2,1511.99,Tatarasi-Tudor,Nou (Post-2000),Nespecificat,Standard/Urban
718,156000,80.0,3,1950.0,Pacurari-Canta,Vechi (Pre-1977),Decomandat,Standard/Urban
719,135000,68.0,3,1985.29,Galata-Frumoasa,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
726,130000,65.0,3,2000.0,Podu-Ros-Cantemir,Clasic (1977-2000),Semidecomandat,Standard/Urban
728,90000,61.0,2,1475.41,Galata-Frumoasa,Nou (Post-2000),Decomandat,Accesibil/Rezidential
729,97900,50.0,2,1958.0,Galata-Frumoasa,Vechi (Pre-1977),Decomandat,Accesibil/Rezidential
751,89500,57.0,2,1570.18,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
769,139000,78.0,3,1782.05,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
777,93900,48.0,2,1956.25,Copou-Saras,Vechi (Pre-1977),Decomandat,Premium
780,120000,51.0,3,2352.94,Alexandru-Dacia,Vechi (Pre-1977),Semidecomandat,Standard/Urban
786,89000,41.0,2,2170.73,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat,Standard/Urban
792,118000,55.0,2,2145.45,Tatarasi-Tudor,Clasic (1977-2000),Decomandat,Standard/Urban
799,40000,28.0,1,1428.57,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
820,155000,72.0,3,2152.78,Centru-Civic,Nou (Post-2000),Decomandat,Premium
823,145000,72.0,3,2013.89,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
824,165000,82.0,3,2012.2,Alexandru-Dacia,Nou (Post-2000),Semidecomandat,Standard/Urban
831,165000,82.0,3,2012.2,Alexandru-Dacia,Nou (Post-2000),Nespecificat,Standard/Urban
835,130000,56.0,2,2321.43,Centru-Civic,Vechi (Pre-1977),Decomandat,Premium
853,117000,55.0,2,2127.27,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
855,127000,52.0,3,2442.31,Pacurari-Canta,Nou (Post-2000),Nespecificat,Standard/Urban
857,71500,36.0,1,1986.11,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
863,65000,46.0,2,1413.04,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
878,105000,56.0,2,1875.0,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
900,58000,33.0,1,1757.58,Galata-Frumoasa,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
908,120000,66.0,3,1818.18,Pacurari-Canta,Vechi (Pre-1977),Nespecificat,Standard/Urban
913,100500,50.0,2,2010.0,Copou-Saras,Nou (Post-2000),Nespecificat,Premium
915,100000,51.0,3,1960.78,Alexandru-Dacia,Vechi (Pre-1977),Nespecificat,Standard/Urban
919,52800,25.0,1,2112.0,Galata-Frumoasa,Clasic (1977-2000),Nespecificat,Accesibil/Rezidential
933,62900,39.0,2,1612.82,Alexandru-Dacia,Vechi (Pre-1977),Semidecomandat,Standard/Urban
934,74000,54.0,2,1370.37,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
936,69000,52.0,2,1326.92,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
937,107900,43.0,2,2509.3,Nicolina-CUG,Nou (Post-2000),Nespecificat,Accesibil/Rezidential
938,55000,35.0,2,1571.43,Podu-Ros-Cantemir,Nou (Post-2000),Nespecificat,Standard/Urban
941,84990,50.0,2,1699.8,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
944,78000,40.0,2,1950.0,Podu-Ros-Cantemir,Vechi (Pre-1977),Semidecomandat,Standard/Urban
946,63000,32.0,1,1968.75,Nicolina-CUG,Vechi (Pre-1977),Nespecificat,Accesibil/Rezidential
952,105000,59.5,2,1764.71,Bucium,Nou (Post-2000),Nespecificat,Periferie
953,92000,42.0,2,2190.48,Alexandru-Dacia,Clasic (1977-2000),Semidecomandat,Standard/Urban
965,82500,46.0,1,1793.48,Pacurari-Canta,Nou (Post-2000),Decomandat,Standard/Urban
966,141700,76.0,3,1864.47,Pacurari-Canta,Nou (Post-2000),Decomandat,Standard/Urban
967,126500,68.0,2,1860.29,Pacurari-Canta,Nou (Post-2000),Nespecificat,Standard/Urban
968,135000,68.0,3,1985.29,Centru-Civic,Clasic (1977-2000),Nespecificat,Premium
970,82900,50.0,2,1658.0,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
980,51500,26.0,1,1980.77,Nicolina-CUG,Clasic (1977-2000),Nespecificat,Accesibil/Rezidential
983,91500,50.0,2,1830.0,Galata-Frumoasa,Nou (Post-2000),Semidecomandat,Accesibil/Rezidential
998,82000,41.0,2,2000.0,Alexandru-Dacia,Clasic (1977-2000),Nespecificat,Standard/Urban
1004,139000,76.0,3,1828.95,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
1015,116000,68.0,3,1705.88,Podu-Ros-Cantemir,Vechi (Pre-1977),Semidecomandat,Standard/Urban
1018,127500,75.0,3,1700.0,Nicolina-CUG,Clasic (1977-2000),Decomandat,Accesibil/Rezidential
1020,95000,51.0,2,1862.75,Nicolina-CUG,Nou (Post-2000),Decomandat,Accesibil/Rezidential
1025,156000,84.0,3,1857.14,Pacurari-Canta,Clasic (1977-2000),Nespecificat,Standard/Urban
1030,129000,72.6,3,1776.86,Pacurari-Canta,Clasic (1977-2000),Nespecificat,Standard/Urban
1031,162000,65.0,3,2492.31,Centru-Civic,Clasic (1977-2000),Decomandat,Premium
1032,77500,42.0,1,1845.24,Copou-Saras,Nou (Post-2000),Nespecificat,Premium
