Titlu,Pret_Raw,Link,Full_Description,Pret_EUR
Titlu Necunoscut,115 000 €,https://www.storia.ro/ro/oferta/etaj-2-gradinari-iulius-mall-3-camere-decomandat-bloc-80-IDG2Bz,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 115 000 € | 1917 €/m² | Etaj 2-Gradinari-Iulius Mall-3 Camere Decomandat-bloc 80' | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 60 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 3 camere decomandat de 60mp situat in zona Gradinari,pe Bd .Chimiei,l etajul 2/4 intr-un bloc fara risc seismic,construit in anul 1980,cu acces rapid catre mi... | ZDA | Agenție imobiliară",
Titlu Necunoscut,84 000 €,https://www.storia.ro/ro/oferta/comision-0-ap-cu-2c-conf1-n-pod-ros-la-bulevard-liber-IDFHdZ,"... | ... | ... | ... | ... | 1 |  /  | 8 | 84 000 € | 1826 €/m² | Comision 0 ! Ap cu 2C conf1 în Pod Ros la bulevard, liber! | Bulevardul Socola, Tesatura, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 46 m² | Etaj | parter | Vezi descrierea anunțului | Repozitionare de pret: 84000EURO! Agentia ImoConfort va propune spre cumparare un apartament cu 2 camere confort 1, modelul nedecomandat cu doua debarale, situat &icirc;n Pod Ros la Bulevardul Socola,... | Reactualizat | IMOCONFORT | Agenție imobiliară",
Titlu Necunoscut,190 000 €,https://www.storia.ro/ro/oferta/apartament-de-vanzare-4-camere-decomandat-zona-pacurari-pizza-smile-IDG2AF,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 190 000 € | 1959 €/m² | Apartament de vanzare, 4 camere, decomandat, zona Pacurari-Pizza Smile | Pacurari, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 97 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Va propunem spre vanzare un apartament cu 4 camere, decomandat, cu suprafata totala de 97 mp, situat la etaj intermediar intr-un bloc construit in anul 1984 in zona Pacurari-Pizza Smile, Iasi. Imobilu... | INVEST IMOBILIARE | Agenție imobiliară",
Titlu Necunoscut,1 200 000 €,https://www.storia.ro/ro/oferta/penthouse-exclusivist-773-mp-poitiers-towers-IDEnOk,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 21 | 1 200 000 € | 1350 €/m² | PENTHOUSE EXCLUSIVIST  -773 mp -  POITIERS TOWERS | Bulevardul Poitiers, Frumoasa, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 889 m² | Etaj | 10 etajul | Vezi descrierea anunțului | Penthouse-ul prezentat este situat la etajul 9 si 10 , dispus pe 2 niveluri, are o suprafata utila de 773 mp cu o terasa generoasa care se poate transforma intr-un minunat loc de relaxare,( blocul dis... | Reactualizat | Cartierul Visoianu | Agenție imobiliară",
Titlu Necunoscut,100 000 €,https://www.storia.ro/ro/oferta/apartament-3-camere-d-85-mp-100-000euro-lunca-cetatuii-IDG2Ab,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 100 000 € | 1205 €/m² | Apartament 3 camere, D, 85 mp, 100.000euro Lunca Cetatuii | Gara, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 83 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Agentia Imobiliara Imobilis Iasi, va propune spre achizitie un apartament 3 camere decomandat, 2 băi, cu o suprafață totală de83 mp din care 9.9 mp de balcon inchis, luminos și spațios, situat la etaj... | Imobilis Iasi Estates S.R.L. | Agenție imobiliară",
Titlu Necunoscut,132 000 €,https://www.storia.ro/ro/oferta/apartament-3-camere-2-bai-mobilat-si-utilat-aproape-de-palas-mall-IDG2zO,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 132 000 € | 1808 €/m² | Apartament 3 camere, 2 bai, mobilat si utilat, aproape de Palas Mall | Podu Ros, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 73 m² | Etaj | 5 etajul | Vezi descrierea anunțului | OPORTUNITATE DE INVESTIȚIE:Apartament cu 3 camere decomandat, 2 băi, mobilat și utilat, aproape de Palas - ideal atât pentru locuit, cât și pentru investițieVă propun spre vânzare un apartament cu 3 c... | Creative Real Imob | Agenție imobiliară",
Titlu Necunoscut,82 500 €,https://www.storia.ro/ro/oferta/comision-0-bucium-visan-apart-nou-2-camere-et-2-amenajat-parcare-IDFpvi,"... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 15 | 82 500 € | 1673 €/m² | COMISION 0! Bucium/Visan - Apart nou 2 camere, et 2, amenajat, parcare | Bucium, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 49.3 m² | Etaj | 2 etajul | Vezi descrierea anunțului | Pret: 82500 euro.Comision 0%.Nu se aplica TVA.INTABULAT.Apartament 2 camere decomandat + loc de parcare in proprietate contracost.Pret loc de parcare intabulat: 6000 euro.Apartament + loc de parcare d... | Reactualizat | Blue Imobiliare | Agenție imobiliară",
Titlu Necunoscut,85 000 €,https://www.storia.ro/ro/oferta/comision-0-tatarasi-dispecer-apartament-2-cam-amenajat-fara-risc-IDFYkf,"Adăugat acum 7 zile | ... | ... | ... | ... | ... | ... | ... | ... | ... | ... | 1 |  /  | 13 | 85 000 € | 1635 €/m² | COMISION 0! Tatarasi, Dispecer - Apartament 2 cam, amenajat, fara risc | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 52 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Locatie excelenta, cartier Tatarasi, zona Dispecer, acces imediat catre statia mijloacelor de transport in comun, centre comercial si zona centrala a orasului.De vanzare apartament cu 2 camere, avand ... | Reactualizat | Blue Imobiliare | Agenție imobiliară",
Titlu Necunoscut,132 000 €,https://www.storia.ro/ro/oferta/ap-2-cam-dec-poitiers-mobilat-utilat-parcare-132-000-neg-IDG2yJ,"Adăugat astăzi | ... | ... | ... | ... | ... | 1 |  /  | 8 | 132 000 € | 2095 €/m² | Ap 2 cam dec Poitiers, mobilat-utilat + parcare, 132.000€ neg. | Frumoasa, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 63 m² | Etaj | 4 etajul | Vezi descrierea anunțului | Apartament 2 camere decomandat, mobilat și utilat – Zona Poitiers | Parcare subterană
 Pret:132.000 usor negociabil

Agenția noastră vă propune spre vânzare un apartament cu 2 camere, decomandat, s... | Stil Imobil | Agenție imobiliară",
Titlu Necunoscut,160 000 €,https://www.storia.ro/ro/oferta/nicolina-3-camere-etaj-intermediar-bloc-nou-2020-66-mp-IDG2xA,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 160 000 € | 2909 €/m² | Nicolina - 3 Camere -  Etaj Intermediar - Bloc Nou 2020 - 66 Mp | Nicolina 1, Iasi, Iasi | Numărul de camere | 3 camere | Prețul pe metru pătrat | 55 m² | Etaj | 9 etajul | Vezi descrierea anunțului | Va propunem  spre vanzare un apartament cu 3 Camere, situat in zona Nicolina - Lidl .Imobilul se afla la etajul 9 al unui   bloc cu 10  nivele , blocul fiind  construit in anul 2020  intr-o zona linis... | IDEAL HOME | Agenție imobiliară",
Titlu Necunoscut,138 000 €,https://www.storia.ro/ro/oferta/apartament-de-vanzare-4-camere-2-bai-alexandru-cel-bun-iasi-IDG2vP,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 138 000 € | 1484 €/m² | Apartament de vanzare, 4 camere, 2 bai, Alexandru cel Bun, Iasi | Alexandru Cel Bun, Iasi, Iasi | Numărul de camere | 4 camere | Prețul pe metru pătrat | 93 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Apartament 4 camere de vanzare | Zona semicentrala | 2 bai, 2 balcoane, loc de parcareEvo Imobiliare propune spre vanzare un apartament generos cu 4 camere, situat intr-o zona semicentrala, la aproxim... | Evo Imobiliare | Agenție imobiliară",
Titlu Necunoscut,114 940 €,https://www.storia.ro/ro/oferta/proprietar-vand-apartament-IDG2wG,"Adăugat astăzi | ... | ... | ... | ... | ... | 1 |  /  | 8 | 114 940 € | 2446 €/m² | Proprietar vând apartament | Centru, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 47 m² | Etaj | 7 etajul | Vezi descrierea anunțului | Vă propun spre vânzare un apartament cu 2 camere decomandat 47,40mp situat în Tătărași ,la etajul 7/12,an costrucție 2022..
Acces rapid către mijloacele de transport în comun.
Apartamentul ... | Stil Imobil | Agenție imobiliară",
Titlu Necunoscut,118 000 €,https://www.storia.ro/ro/oferta/oancea-sf-maria-bloc-1987-2-camere-decomandat-IDG2wB,"Adăugat astăzi | ... | ... | ... | ... | ... | ... | 1 |  /  | 9 | 118 000 € | 2145 €/m² | Oancea - Sf Maria - Bloc 1987 - 2 Camere Decomandat | Tatarasi Sud, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 55 m² | Etaj | 1 etajul | Vezi descrierea anunțului | Agentia Top Imobil va propune spre vanzare un apartament cu 2 camere, model decomandat cu suprafata de 55mp. Proprietatea este situata la Etajul 1 al unui bloc construit in anul 1987 din zona Oancea, ... | Top Imobil | Agenție imobiliară",
Titlu Necunoscut,131 000 €,https://www.storia.ro/ro/oferta/apartament-2-camere-parcare-subterana-manta-rosie-intabulat-IDDjLV,"... | ... | ... | ... | ... | 1 |  /  | 8 | 131 000 € | 2109 €/m² | Apartament 2 camere + parcare subterana - Manta Rosie - Intabulat ! | Manta Rosie, Iasi, Iasi | Numărul de camere | 2 camere | Prețul pe metru pătrat | 62.12 m² | Etaj | 5 etajul | Vezi descrierea anunțului | Apartament cu 2 Camere decomandat – Zonă Frumoasa
Vă prezentăm un apartament cu 2 camere, bine compartimentat și modern amenajat, situat la etajul 5 al unui bloc nou, într-o zonă liniștită și accesib... | Stil Imobil | Agenție imobiliară",
